VariationID,VCV,RS# (dbSNP)_new,Gene,Submitter,date_old,ClinicalSignificance_old,ClinicalSignificance_old_norm,date_new,ClinicalSignificance_new,ClinicalSignificance_new_norm,SCV_old,SCV_new,change_type,citation_pmids,citation_count
1729137,VCV001729137,80357313,BRCA1,"CONFLICT: University of Washington Department of Laboratory Medicine, University of Washington",,Multiple interpretations exist,Conflicting interpretations,2023-03-23,Likely benign,Likely benign,,SCV003850743.1,conflicting_interpretations,"['31911673', '31911673']",2
482889,VCV000482889,1471435242,BRCA1,CONFLICT: Ambry Genetics,,Multiple interpretations exist,Conflicting interpretations,2021-05-20,Likely benign,Likely benign,,SCV000668394.5,conflicting_interpretations,['30209399'],1
934721,VCV000934721,80357185,BRCA1,"CONFLICT: University of Washington Department of Laboratory Medicine, University of Washington",,Multiple interpretations exist,Conflicting interpretations,2023-03-23,Likely benign,Likely benign,,SCV003847633.1,conflicting_interpretations,"['31911673', '31911673']",2
934721,VCV000934721,80357185,BRCA1,"CONFLICT: Labcorp Genetics (formerly Invitae), Labcorp",,Multiple interpretations exist,Conflicting interpretations,2023-09-15,Uncertain significance,Uncertain significance,,SCV001374321.6,conflicting_interpretations,['28492532'],1
1522093,VCV001522093,867654871,BRCA1,"CONFLICT: University of Washington Department of Laboratory Medicine, University of Washington",,Multiple interpretations exist,Conflicting interpretations,2023-03-23,Likely benign,Likely benign,,SCV003851024.1,conflicting_interpretations,"['31911673', '31911673']",2
1522093,VCV001522093,867654871,BRCA1,"CONFLICT: Labcorp Genetics (formerly Invitae), Labcorp",,Multiple interpretations exist,Conflicting interpretations,2024-05-22,Uncertain significance,Uncertain significance,,SCV002315371.4,conflicting_interpretations,['28492532'],1
1522766,VCV001522766,1282963652,BRCA1,"CONFLICT: Labcorp Genetics (formerly Invitae), Labcorp",,Multiple interpretations exist,Conflicting interpretations,2021-05-28,Uncertain significance,Uncertain significance,,SCV002314020.4,conflicting_interpretations,['28492532'],1
1522766,VCV001522766,1282963652,BRCA1,"CONFLICT: University of Washington Department of Laboratory Medicine, University of Washington",,Multiple interpretations exist,Conflicting interpretations,2023-03-23,Likely benign,Likely benign,,SCV003851315.1,conflicting_interpretations,"['31911673', '31911673']",2
462588,VCV000462588,1555589466,BRCA1,"CONFLICT: Labcorp Genetics (formerly Invitae), Labcorp",,Multiple interpretations exist,Conflicting interpretations,2017-02-01,Uncertain significance,Uncertain significance,,SCV000635852.5,conflicting_interpretations,['28492532'],1
462588,VCV000462588,1555589466,BRCA1,"CONFLICT: University of Washington Department of Laboratory Medicine, University of Washington",,Multiple interpretations exist,Conflicting interpretations,2023-03-23,Likely benign,Likely benign,,SCV003847603.1,conflicting_interpretations,"['31911673', '31911673']",2
1522881,VCV001522881,876658479,BRCA1,"CONFLICT: Labcorp Genetics (formerly Invitae), Labcorp",,Multiple interpretations exist,Conflicting interpretations,2021-04-08,Uncertain significance,Uncertain significance,,SCV002313238.4,conflicting_interpretations,['28492532'],1
1522881,VCV001522881,876658479,BRCA1,"CONFLICT: University of Washington Department of Laboratory Medicine, University of Washington",,Multiple interpretations exist,Conflicting interpretations,2023-03-23,Likely benign,Likely benign,,SCV003847255.1,conflicting_interpretations,"['31911673', '31911673']",2
935747,VCV000935747,886040319,BRCA1,"CONFLICT: Labcorp Genetics (formerly Invitae), Labcorp",,Multiple interpretations exist,Conflicting interpretations,2019-08-23,Pathogenic,Pathogenic,,SCV001375609.3,conflicting_interpretations,"['21520333', '20104584', '28492532']",3
935747,VCV000935747,886040319,BRCA1,CONFLICT: Quest Diagnostics Nichols Institute San Juan Capistrano,,Multiple interpretations exist,Conflicting interpretations,2019-10-11,Likely pathogenic,Likely pathogenic,,SCV001470014.1,conflicting_interpretations,['26467025'],1
1729418,VCV001729418,879254009,BRCA1,"CONFLICT: University of Washington Department of Laboratory Medicine, University of Washington",,Multiple interpretations exist,Conflicting interpretations,2023-03-23,Likely benign,Likely benign,,SCV003848975.1,conflicting_interpretations,"['31911673', '31911673']",2
1729563,VCV001729563,80356901,BRCA1,"CONFLICT: All of Us Research Program, National Institutes of Health",,Multiple interpretations exist,Conflicting interpretations,2023-11-30,Uncertain Significance,Uncertain significance,,SCV004842978.1,conflicting_interpretations,['25741868'],1
1729563,VCV001729563,80356901,BRCA1,"CONFLICT: University of Washington Department of Laboratory Medicine, University of Washington",,Multiple interpretations exist,Conflicting interpretations,2023-03-23,Likely benign,Likely benign,,SCV003848897.1,conflicting_interpretations,"['31911673', '31911673']",2
936376,VCV000936376,2053480824,BRCA1,"CONFLICT: Labcorp Genetics (formerly Invitae), Labcorp",,Multiple interpretations exist,Conflicting interpretations,2019-10-08,Uncertain significance,Uncertain significance,,SCV001376401.6,conflicting_interpretations,['28492532'],1
936376,VCV000936376,2053480824,BRCA1,"CONFLICT: University of Washington Department of Laboratory Medicine, University of Washington",,Multiple interpretations exist,Conflicting interpretations,2023-03-23,Likely benign,Likely benign,,SCV003846738.1,conflicting_interpretations,"['31911673', '31911673']",2
1729684,VCV001729684,2154332233,BRCA1,"CONFLICT: University of Washington Department of Laboratory Medicine, University of Washington",,Multiple interpretations exist,Conflicting interpretations,2023-03-23,Likely benign,Likely benign,,SCV003847213.1,conflicting_interpretations,"['31911673', '31911673']",2
125786,VCV000125786,80358109,BRCA1,"CONFLICT: Cancer Variant Interpretation Group UK, Institute of Cancer Research, London",,Multiple interpretations exist,Conflicting interpretations,2020-02-17,Uncertain significance,Uncertain significance,,SCV001429668.1,conflicting_interpretations,['25741868'],1
125786,VCV000125786,80358109,BRCA1,CONFLICT: Counsyl,,Multiple interpretations exist,Conflicting interpretations,2017-01-18,Likely benign,Likely benign,,SCV000784867.3,conflicting_interpretations,['16544996'],1
1729736,VCV001729736,1597864637,BRCA1,"CONFLICT: University of Washington Department of Laboratory Medicine, University of Washington",,Multiple interpretations exist,Conflicting interpretations,2023-03-23,Likely benign,Likely benign,,SCV003847180.1,conflicting_interpretations,"['31911673', '31911673']",2
1729764,VCV001729764,2154331903,BRCA1,"CONFLICT: University of Washington Department of Laboratory Medicine, University of Washington",,Multiple interpretations exist,Conflicting interpretations,2023-03-23,Likely benign,Likely benign,,SCV003847158.1,conflicting_interpretations,"['31911673', '31911673']",2
1729764,VCV001729764,2154331903,BRCA1,CONFLICT: Ambry Genetics,,Multiple interpretations exist,Conflicting interpretations,2024-06-07,Uncertain significance,Uncertain significance,,SCV002611534.3,conflicting_interpretations,"['30287823', '31214711', '37731132']",3
1774740,VCV001774740,2154439034,BRCA1,"CONFLICT: University of Washington Department of Laboratory Medicine, University of Washington",,Multiple interpretations exist,Conflicting interpretations,2023-03-23,Likely benign,Likely benign,,SCV003851228.1,conflicting_interpretations,"['31911673', '31911673']",2
142297,VCV000142297,199916228,BRCA1,CONFLICT: Evidence-based Network for the Interpretation of Germline Mutant Alleles (ENIGMA),,Multiple interpretations exist,Conflicting interpretations,2019-06-18,Benign,Benign,,SCV001161593.2,conflicting_interpretations,['31131967'],1
142297,VCV000142297,199916228,BRCA1,"CONFLICT: Color Diagnostics, LLC DBA Color Health",,Multiple interpretations exist,Conflicting interpretations,2017-01-17,Likely benign,Likely benign,,SCV000683342.2,conflicting_interpretations,['25741868'],1
1774749,VCV001774749,1356078500,BRCA1,"CONFLICT: University of Washington Department of Laboratory Medicine, University of Washington",,Multiple interpretations exist,Conflicting interpretations,2023-03-23,Likely benign,Likely benign,,SCV003851226.1,conflicting_interpretations,"['31911673', '31911673']",2
142301,VCV000142301,145466894,BRCA1,"CONFLICT: Sema4, Sema4",,Multiple interpretations exist,Conflicting interpretations,2022-01-25,Uncertain significance,Uncertain significance,,SCV002537777.1,conflicting_interpretations,['26689913'],1
142301,VCV000142301,145466894,BRCA1,CONFLICT: Quest Diagnostics Nichols Institute San Juan Capistrano,,Multiple interpretations exist,Conflicting interpretations,2023-05-03,Likely benign,Likely benign,,SCV004219421.1,conflicting_interpretations,"['26689913', '28781887', '35196514', '31853058', '35665744', '26467025']",6
1730038,VCV001730038,80357135,BRCA1,"CONFLICT: University of Washington Department of Laboratory Medicine, University of Washington",,Multiple interpretations exist,Conflicting interpretations,2023-03-23,Likely benign,Likely benign,,SCV003847025.1,conflicting_interpretations,"['31911673', '31911673']",2
1774841,VCV001774841,1555591584,BRCA1,"CONFLICT: University of Washington Department of Laboratory Medicine, University of Washington",,Multiple interpretations exist,Conflicting interpretations,2023-03-23,Likely benign,Likely benign,,SCV003851225.1,conflicting_interpretations,"['31911673', '31911673']",2
1774841,VCV001774841,1555591584,BRCA1,"CONFLICT: Labcorp Genetics (formerly Invitae), Labcorp",,Multiple interpretations exist,Conflicting interpretations,2024-02-12,Uncertain significance,Uncertain significance,,SCV002998295.3,conflicting_interpretations,['28492532'],1
937374,VCV000937374,754398271,BRCA1,"CONFLICT: Labcorp Genetics (formerly Invitae), Labcorp",,Multiple interpretations exist,Conflicting interpretations,2022-09-22,Uncertain significance,Uncertain significance,,SCV001377676.6,conflicting_interpretations,['28492532'],1
937374,VCV000937374,754398271,BRCA1,"CONFLICT: University of Washington Department of Laboratory Medicine, University of Washington",,Multiple interpretations exist,Conflicting interpretations,2023-03-23,Likely benign,Likely benign,,SCV003851204.1,conflicting_interpretations,"['31911673', '31911673']",2
142303,VCV000142303,587782370,BRCA1,"CONFLICT: Women's Health and Genetics/Laboratory Corporation of America, LabCorp",,Multiple interpretations exist,Conflicting interpretations,2023-03-13,Uncertain significance,Uncertain significance,,SCV001519510.2,conflicting_interpretations,"['34196900', '34413315']",2
142303,VCV000142303,587782370,BRCA1,"CONFLICT: University of Washington Department of Laboratory Medicine, University of Washington",,Multiple interpretations exist,Conflicting interpretations,2023-03-23,Likely benign,Likely benign,,SCV003851018.1,conflicting_interpretations,"['31911673', '31911673']",2
937484,VCV000937484,2053566295,BRCA1,"CONFLICT: Labcorp Genetics (formerly Invitae), Labcorp",,Multiple interpretations exist,Conflicting interpretations,2022-02-25,Uncertain significance,Uncertain significance,,SCV001377814.6,conflicting_interpretations,['28492532'],1
937484,VCV000937484,2053566295,BRCA1,"CONFLICT: University of Washington Department of Laboratory Medicine, University of Washington",,Multiple interpretations exist,Conflicting interpretations,2023-03-23,Likely benign,Likely benign,,SCV003850226.1,conflicting_interpretations,"['31911673', '31911673']",2
1775283,VCV001775283,2154436230,BRCA1,"CONFLICT: University of Washington Department of Laboratory Medicine, University of Washington",,Multiple interpretations exist,Conflicting interpretations,2023-03-23,Likely benign,Likely benign,,SCV003851207.1,conflicting_interpretations,"['31911673', '31911673']",2
937580,VCV000937580,753256448,BRCA1,"CONFLICT: Women's Health and Genetics/Laboratory Corporation of America, LabCorp",,Multiple interpretations exist,Conflicting interpretations,2020-08-10,Uncertain significance,Uncertain significance,,SCV001432092.1,conflicting_interpretations,"['20104584', '21520273']",2
937580,VCV000937580,753256448,BRCA1,"CONFLICT: University of Washington Department of Laboratory Medicine, University of Washington",,Multiple interpretations exist,Conflicting interpretations,2023-03-23,Likely benign,Likely benign,,SCV003851041.1,conflicting_interpretations,"['31911673', '31911673']",2
1730229,VCV001730229,2154328905,BRCA1,"CONFLICT: Labcorp Genetics (formerly Invitae), Labcorp",,Multiple interpretations exist,Conflicting interpretations,2023-09-28,Uncertain significance,Uncertain significance,,SCV004529589.2,conflicting_interpretations,['28492532'],1
1730229,VCV001730229,2154328905,BRCA1,"CONFLICT: University of Washington Department of Laboratory Medicine, University of Washington",,Multiple interpretations exist,Conflicting interpretations,2023-03-23,Likely benign,Likely benign,,SCV003852265.1,conflicting_interpretations,"['31911673', '31911673']",2
868335,VCV000868335,2051099941,BRCA1,"CONFLICT: Labcorp Genetics (formerly Invitae), Labcorp",,Multiple interpretations exist,Conflicting interpretations,2021-05-13,Likely benign,Likely benign,,SCV002410086.5,conflicting_interpretations,['28492532'],1
868335,VCV000868335,2051099941,BRCA1,"CONFLICT: All of Us Research Program, National Institutes of Health",,Multiple interpretations exist,Conflicting interpretations,2023-05-04,Uncertain Significance,Uncertain significance,,SCV004827022.1,conflicting_interpretations,['25741868'],1
420042,VCV000420042,878853265,BRCA1,"CONFLICT: Labcorp Genetics (formerly Invitae), Labcorp",,Multiple interpretations exist,Conflicting interpretations,2024-10-03,Likely benign,Likely benign,,SCV000635992.5,conflicting_interpretations,['28492532'],1
438911,VCV000438911,113656989,BRCA1,CONFLICT: Quest Diagnostics Nichols Institute San Juan Capistrano,,Multiple interpretations exist,Conflicting interpretations,2017-04-27,Uncertain significance,Uncertain significance,,SCV000600253.2,conflicting_interpretations,['26467025'],1
438911,VCV000438911,113656989,BRCA1,"CONFLICT: University of Washington Department of Laboratory Medicine, University of Washington",,Multiple interpretations exist,Conflicting interpretations,2023-03-23,Likely benign,Likely benign,,SCV003851251.1,conflicting_interpretations,"['31911673', '31911673']",2
141656,VCV000141656,587781914,BRCA1,"CONFLICT: Labcorp Genetics (formerly Invitae), Labcorp",,Multiple interpretations exist,Conflicting interpretations,2022-12-17,Uncertain significance,Uncertain significance,,SCV002150353.4,conflicting_interpretations,['28492532'],1
141656,VCV000141656,587781914,BRCA1,"CONFLICT: University of Washington Department of Laboratory Medicine, University of Washington",,Multiple interpretations exist,Conflicting interpretations,2023-03-23,Likely benign,Likely benign,,SCV003849429.1,conflicting_interpretations,"['31911673', '31911673']",2
125907,VCV000125907,398122354,BRCA1,CONFLICT: Counsyl,,Multiple interpretations exist,Conflicting interpretations,2016-06-24,Uncertain significance,Uncertain significance,,SCV000488827.3,conflicting_interpretations,['16267036'],1
125907,VCV000125907,398122354,BRCA1,"CONFLICT: Color Diagnostics, LLC DBA Color Health",,Multiple interpretations exist,Conflicting interpretations,2016-08-29,Likely benign,Likely benign,,SCV000688656.2,conflicting_interpretations,['25741868'],1
438912,VCV000438912,1555591570,BRCA1,CONFLICT: Quest Diagnostics Nichols Institute San Juan Capistrano,,Multiple interpretations exist,Conflicting interpretations,2016-11-28,Uncertain significance,Uncertain significance,,SCV000600256.2,conflicting_interpretations,['26467025'],1
438912,VCV000438912,1555591570,BRCA1,"CONFLICT: Labcorp Genetics (formerly Invitae), Labcorp",,Multiple interpretations exist,Conflicting interpretations,2025-01-13,Likely benign,Likely benign,,SCV002495260.4,conflicting_interpretations,['28492532'],1
