variant_id,rsid,old_class,new_class,total_publications,citations_causing_change,change_significance,pubs_before_change,pubs_after_change,recent_publication_surge,mean_impact_factor,max_impact_factor,high_impact_count,unique_journals
1054679,2154144124,Conflicting interpretations,Uncertain significance,1,1,0.5,1,0,0,4.0,4.0,0,1
1055401,273899702,Conflicting interpretations,Likely benign,8,2,1.5,8,0,0,16.45,102.0,1,4
1055889,2053869047,Conflicting interpretations,Likely benign,3,3,1.5,3,0,0,4.0,4.0,0,1
1055953,2154489161,Conflicting interpretations,Likely benign,3,3,1.5,3,0,0,4.0,4.0,0,1
1055956,2154343150,Conflicting interpretations,Likely benign,3,3,1.5,3,0,0,4.0,4.0,0,1
1057543,1064794098,Conflicting interpretations,Likely benign,11,2,1.5,10,1,0,14.290909090909093,102.0,2,9
1058334,2154337756,Conflicting interpretations,Uncertain significance,3,3,0.5,3,0,0,4.0,4.0,0,1
1058491,2154487384,Conflicting interpretations,Likely benign,3,3,1.5,3,0,0,4.0,4.0,0,1
1058860,1395644015,Conflicting interpretations,Likely benign,9,3,1.5,8,1,0,16.9,102.0,2,6
1060654,2154265376,Conflicting interpretations,Likely benign,3,3,1.5,3,0,0,4.0,4.0,0,1
1060748,2053979139,Conflicting interpretations,Benign,1,1,2.5,1,0,0,4.0,4.0,0,1
1060799,2154446030,Conflicting interpretations,Likely benign,3,3,1.5,3,0,0,4.0,4.0,0,1
1061168,1567795916,Conflicting interpretations,Likely benign,2,2,1.5,2,0,0,4.0,4.0,0,1
1061482,786203884,Conflicting interpretations,Likely benign,13,3,1.5,13,0,0,5.7153846153846155,9.0,0,8
1062596,1178253962,Conflicting interpretations,Likely benign,7,3,1.5,7,0,0,20.5,102.0,2,4
1063010,2053916000,Conflicting interpretations,Likely benign,3,3,1.5,3,0,0,4.0,4.0,0,1
1063293,2053534351,Conflicting interpretations,Likely benign,3,3,1.5,3,0,0,4.0,4.0,0,1
1063657,2154311006,Conflicting interpretations,Likely benign,3,3,1.5,3,0,0,4.0,4.0,0,1
1064208,749417532,Conflicting interpretations,Likely benign,9,2,1.5,9,0,0,19.466666666666665,102.0,3,7
1064262,1555589917,Conflicting interpretations,Uncertain significance,4,3,0.5,4,0,0,8.725,24.9,1,3
1071595,2154430698,Conflicting interpretations,Pathogenic,3,3,1.5,3,0,0,6.6000000000000005,7.9,0,2
1072154,2154427544,Conflicting interpretations,Likely pathogenic,3,3,0.5,3,0,0,5.3,7.9,0,2
1074622,2154151012,Conflicting interpretations,Likely pathogenic,3,3,0.5,3,0,0,5.3,7.9,0,2
1094445,2154264165,Conflicting interpretations,Likely benign,1,1,1.5,1,0,0,4.0,4.0,0,1
1128597,2154430469,Conflicting interpretations,Uncertain significance,2,2,0.5,2,0,0,5.95,7.9,0,2
1140465,2052610048,Conflicting interpretations,Uncertain significance,2,2,0.5,2,0,0,5.95,7.9,0,2
1170582,750547789,Conflicting interpretations,Benign,2,2,2.5,2,0,0,5.75,7.5,0,2
1171577,80357361,Conflicting interpretations,Likely benign,13,2,1.5,13,0,0,14.807692307692308,102.0,3,10
1171706,2154285914,Conflicting interpretations,Likely benign,3,3,1.5,3,0,0,4.0,4.0,0,1
1171820,398122666,Conflicting interpretations,Likely benign,7,2,1.5,7,0,0,21.085714285714285,102.0,3,5
1171872,1555588915,Conflicting interpretations,Likely benign,4,3,1.5,4,0,0,3.5,4.0,0,2
1171931,2154475121,Conflicting interpretations,Likely benign,3,3,1.5,3,0,0,4.0,4.0,0,1
1172074,2152760370,Conflicting interpretations,Likely pathogenic,1,1,0.5,1,0,0,4.0,4.0,0,1
1172246,2053817086,Conflicting interpretations,Likely benign,3,3,1.5,3,0,0,4.0,4.0,0,1
1172310,1283231905,Conflicting interpretations,Likely benign,6,3,1.5,6,0,0,20.933333333333334,102.0,1,3
1172436,2154463118,Conflicting interpretations,Likely benign,3,3,1.5,3,0,0,4.0,4.0,0,1
1174600,2154323689,Conflicting interpretations,Likely pathogenic,3,3,0.5,3,0,0,5.3,7.9,0,2
1174602,2153992821,Conflicting interpretations,Likely pathogenic,5,5,0.5,5,0,0,4.36,7.0,0,4
1174603,2153836342,Conflicting interpretations,Pathogenic,2,2,1.5,2,0,0,4.0,4.0,0,1
1174984,2154312065,Conflicting interpretations,Likely benign,2,2,1.5,2,0,0,4.0,4.0,0,1
1175105,2154528996,Conflicting interpretations,Uncertain significance,2,2,0.5,2,0,0,12.95,21.9,1,2
1183948,1064795603,Conflicting interpretations,Likely benign,6,1,1.5,6,0,0,20.766666666666666,102.0,1,5
1185566,2152501157,Conflicting interpretations,Pathogenic,4,4,1.5,4,0,0,6.6,15.0,1,3
1192261,2154368003,Conflicting interpretations,Pathogenic,2,2,1.5,2,0,0,5.95,7.9,0,2
1198624,1555590709,Conflicting interpretations,Likely benign,3,2,1.5,3,0,0,3.3333333333333335,4.0,0,2
125464,273898672,Conflicting interpretations,Likely benign,5,3,1.5,5,0,0,9.66,17.2,2,4
125468,3765640,Conflicting interpretations,Benign,33,1,2.5,19,13,1,11.14242424242424,53.8,9,29
125471,273898669,Conflicting interpretations,Likely benign,9,3,1.5,8,1,0,14.711111111111112,83.4,1,8
125474,273898671,Conflicting interpretations,Likely benign,3,2,1.5,2,1,0,3.3333333333333335,4.0,0,2
125478,273897661,Conflicting interpretations,Likely benign,4,1,1.5,4,0,0,25.8,83.4,1,3
125480,273897654,Conflicting interpretations,Likely benign,2,1,1.5,2,0,0,43.7,83.4,1,2
125495,80357939,Conflicting interpretations,Likely pathogenic,7,1,0.5,5,2,0,21.157142857142855,102.0,2,6
125519,80358003,Conflicting interpretations,Pathogenic,7,5,1.5,7,0,0,31.428571428571427,83.4,3,6
125520,80358045,Conflicting interpretations,Pathogenic,8,6,1.5,8,0,0,9.462499999999999,32.3,1,7
125521,80358098,Conflicting interpretations,Likely benign,5,3,1.5,4,1,0,7.359999999999999,16.9,1,5
125525,80358039,Conflicting interpretations,Benign,3,2,2.5,3,0,0,5.8,7.9,0,3
125526,80358117,Conflicting interpretations,Benign,3,1,2.5,1,2,0,4.633333333333334,7.9,0,3
125536,1799949,Benign,Benign,150,2,0.0,52,95,3,8.725333333333333,53.8,34,83
125553,80357063,Conflicting interpretations,Uncertain significance,19,1,0.5,19,0,1,12.26842105263158,102.0,3,15
125554,16940,Conflicting interpretations,Benign,159,2,2.5,42,115,1,8.862893081761005,102.0,31,84
125566,80358025,Conflicting interpretations,Benign,3,2,2.5,1,2,0,8.4,19.2,1,3
125570,80357734,Conflicting interpretations,Likely pathogenic,5,3,0.5,4,1,0,4.38,7.9,0,3
125610,80358174,Conflicting interpretations,Likely benign,2,1,1.5,2,0,0,43.7,83.4,1,2
125612,80358147,Conflicting interpretations,Likely benign,1,1,1.5,1,0,0,7.9,7.9,0,1
125614,799912,Conflicting interpretations,Benign,30,1,2.5,18,12,2,13.1,83.4,11,23
125616,80358119,Conflicting interpretations,Uncertain significance,7,5,0.5,6,1,0,20.642857142857142,83.4,2,7
125618,80358159,Conflicting interpretations,Likely benign,4,1,1.5,4,0,0,24.650000000000002,83.4,1,4
125625,80357575,Conflicting interpretations,Benign,16,5,2.5,16,0,1,8.95625,24.9,4,12
125651,483353090,Conflicting interpretations,Benign,10,4,2.5,10,0,0,6.14,17.9,1,6
125663,80358001,Conflicting interpretations,Likely benign,2,1,1.5,1,1,0,43.7,83.4,1,2
125666,80358101,Conflicting interpretations,Likely benign,7,4,1.5,5,2,0,17.042857142857144,83.4,2,6
125672,80358057,Conflicting interpretations,Likely benign,3,2,1.5,2,1,0,5.3,7.9,0,2
125673,80358072,Conflicting interpretations,Likely benign,5,2,1.5,2,3,0,5.16,7.9,0,3
125674,799916,Conflicting interpretations,Benign,33,1,2.5,20,13,1,14.490909090909089,83.4,12,26
125675,80358169,Conflicting interpretations,Likely benign,2,1,1.5,1,1,0,3.0,4.0,0,2
125677,80358007,Conflicting interpretations,Likely benign,4,2,1.5,3,1,0,4.975,7.9,0,4
125685,80358104,Conflicting interpretations,Likely benign,8,5,1.5,5,3,0,7.5249999999999995,17.2,2,7
125686,273900723,Conflicting interpretations,Likely benign,4,2,1.5,3,1,0,4.7,8.8,0,3
125689,273900726,Conflicting interpretations,Likely benign,1,1,1.5,1,0,0,4.0,4.0,0,1
125695,80358080,Conflicting interpretations,Likely benign,1,1,1.5,1,0,0,4.0,4.0,0,1
125697,80358016,Conflicting interpretations,Likely benign,2,1,1.5,1,1,0,10.45,16.9,1,2
125703,1060915,Conflicting interpretations,Benign,144,1,2.5,35,108,0,7.838888888888889,53.8,24,75
125710,80358111,Conflicting interpretations,Likely benign,10,6,1.5,6,4,1,6.49,16.9,1,7
125714,80358185,Conflicting interpretations,Likely benign,1,1,1.5,1,0,0,4.0,4.0,0,1
125715,80358000,Conflicting interpretations,Likely benign,1,1,1.5,1,0,0,4.0,4.0,0,1
125722,80358082,Conflicting interpretations,Uncertain significance,7,3,0.5,7,0,0,5.885714285714285,7.9,0,5
125723,80358122,Conflicting interpretations,Likely benign,1,1,1.5,1,0,0,4.0,4.0,0,1
125724,80358088,Conflicting interpretations,Likely benign,1,1,1.5,1,0,0,4.0,4.0,0,1
125725,80358008,Conflicting interpretations,Likely pathogenic,13,5,0.5,13,0,0,14.915384615384616,102.0,3,10
125726,80358096,Conflicting interpretations,Likely pathogenic,13,6,0.5,12,1,1,5.661538461538461,12.2,1,8
125727,80358021,Conflicting interpretations,Likely benign,6,2,1.5,3,3,0,6.05,16.9,1,5
125729,273901741,Conflicting interpretations,Likely benign,50,6,1.5,40,10,6,12.32,102.0,16,39
125746,8176234,Benign,Benign,29,1,0.0,8,21,3,9.124137931034484,32.3,8,25
125749,8176233,Conflicting interpretations,Benign,25,1,2.5,23,2,1,9.088,32.3,7,20
125761,80358059,Conflicting interpretations,Benign,11,6,2.5,8,3,0,16.972727272727273,83.4,4,8
125776,80358074,Conflicting interpretations,Likely pathogenic,8,6,0.5,8,0,0,18.375,83.4,3,7
125777,80358074,Conflicting interpretations,Pathogenic,7,5,1.5,7,0,1,27.028571428571432,83.4,3,5
125778,80358074,Conflicting interpretations,Pathogenic,8,5,1.5,8,0,0,24.387500000000003,83.4,3,7
125783,45471406,Conflicting interpretations,Likely benign,3,3,1.5,3,0,0,9.6,16.9,1,3
125786,80358109,Conflicting interpretations,Likely benign,5,2,1.5,1,3,0,3.4200000000000004,5.1,0,4
125791,483353100,Conflicting interpretations,Likely pathogenic,11,1,0.5,9,2,2,22.736363636363635,102.0,3,7
125798,273901752,Conflicting interpretations,Uncertain significance,10,6,0.5,10,0,0,7.859999999999999,32.3,1,6
125810,1060502356,Conflicting interpretations,Pathogenic,2,1,1.5,0,2,0,4.95,7.9,0,2
125817,80358107,Conflicting interpretations,Likely benign,5,2,1.5,5,0,0,6.340000000000001,9.0,0,5
125824,80358148,Conflicting interpretations,Likely benign,2,1,1.5,1,1,0,43.7,83.4,1,2
125825,80358182,Conflicting interpretations,Likely pathogenic,11,7,0.5,10,1,1,12.52727272727273,83.4,1,8
125827,80358166,Conflicting interpretations,Likely benign,11,8,1.5,9,2,0,13.79090909090909,83.4,3,9
125831,80358084,Conflicting interpretations,Benign,9,6,2.5,8,1,2,17.711111111111112,83.4,3,8
125832,80357744,Conflicting interpretations,Pathogenic,12,10,1.5,12,0,1,12.258333333333333,53.8,5,11
125843,55946644,Conflicting interpretations,Likely benign,13,8,1.5,10,3,2,5.8769230769230765,9.6,0,11
125846,80358029,Conflicting interpretations,Pathogenic,10,4,1.5,7,3,0,16.740000000000002,102.0,2,9
125851,80358009,Conflicting interpretations,Likely pathogenic,12,6,0.5,12,0,0,13.525,83.4,2,9
125852,80358009,Conflicting interpretations,Likely pathogenic,15,8,0.5,12,3,0,8.58,32.3,3,12
125853,80358031,Conflicting interpretations,Likely benign,1,1,1.5,1,0,0,4.0,4.0,0,1
125854,80358176,Conflicting interpretations,Likely benign,4,2,1.5,4,0,0,8.875,25.5,1,3
125855,80358157,Conflicting interpretations,Uncertain significance,4,2,0.5,4,0,0,8.375,25.5,1,4
125857,80358151,Conflicting interpretations,Likely pathogenic,3,1,0.5,3,0,0,5.333333333333333,6.0,0,2
125866,273900733,Conflicting interpretations,Likely benign,3,2,1.5,3,0,0,3.3333333333333335,4.0,0,2
125873,3092995,Conflicting interpretations,Benign,19,5,2.5,8,11,1,11.584210526315792,102.0,2,18
125880,273902771,Conflicting interpretations,Likely benign,23,17,1.5,20,3,0,6.01304347826087,9.6,0,17
125881,80358030,Conflicting interpretations,Likely pathogenic,10,2,0.5,6,4,0,5.61,9.6,0,7
125883,80358164,Conflicting interpretations,Likely benign,2,1,1.5,2,0,0,3.0,4.0,0,2
125884,80358115,Conflicting interpretations,Likely benign,1,1,1.5,1,0,0,4.0,4.0,0,1
125885,80358171,Conflicting interpretations,Likely benign,1,1,1.5,1,0,0,4.0,4.0,0,1
125887,398122353,Conflicting interpretations,Benign,5,2,2.5,5,0,0,6.640000000000001,15.2,1,3
125889,8176144,Benign,Benign,23,1,0.0,5,18,1,7.447826086956521,17.2,5,20
125897,80358017,Conflicting interpretations,Likely benign,2,1,1.5,1,1,0,3.7,4.0,0,2
125898,80358081,Conflicting interpretations,Likely benign,6,1,1.5,4,2,1,5.316666666666666,7.9,0,3
125900,80357537,Conflicting interpretations,Uncertain significance,25,16,0.5,25,0,0,12.983999999999998,102.0,7,20
125902,80358167,Conflicting interpretations,Likely benign,2,1,1.5,2,0,0,5.0,6.0,0,2
125906,80358058,Conflicting interpretations,Likely benign,2,1,1.5,1,1,0,3.0,4.0,0,2
125907,398122354,Conflicting interpretations,Likely benign,5,2,1.5,2,3,0,9.1,16.9,2,5
127125,5820483,Benign,Unknown,7,0,2.0,7,0,0,6.785714285714286,14.9,1,7
127126,8176235,Conflicting interpretations,Benign,19,1,2.5,19,0,0,19.157894736842106,102.0,8,17
127127,11654396,Conflicting interpretations,Benign,10,1,2.5,10,0,0,24.64,102.0,4,10
1275855,1238203770,Conflicting interpretations,Likely benign,8,2,1.5,8,0,0,17.825,102.0,1,6
1302498,2053654131,Conflicting interpretations,Likely benign,2,2,1.5,2,0,0,4.0,4.0,0,1
1303010,1555592782,Conflicting interpretations,Likely benign,4,3,1.5,4,0,0,4.475,7.9,0,3
1307126,2154372081,Conflicting interpretations,Likely benign,2,2,1.5,2,0,0,4.0,4.0,0,1
1308175,2053820830,Conflicting interpretations,Likely benign,3,3,1.5,3,0,0,4.0,4.0,0,1
1309096,2154320882,Conflicting interpretations,Likely benign,2,2,1.5,2,0,0,4.0,4.0,0,1
1309729,755122577,Conflicting interpretations,Likely benign,7,1,1.5,7,0,0,17.942857142857143,102.0,1,5
1310166,2053814550,Conflicting interpretations,Likely benign,2,2,1.5,2,0,0,4.0,4.0,0,1
1310394,2154368683,Conflicting interpretations,Likely benign,2,2,1.5,2,0,0,4.0,4.0,0,1
1310659,863224753,Conflicting interpretations,Likely benign,8,1,1.5,7,1,0,16.65,102.0,1,5
1312623,2154431888,Conflicting interpretations,Likely benign,2,2,1.5,2,0,0,4.0,4.0,0,1
1315515,753888336,Conflicting interpretations,Uncertain significance,2,1,0.5,2,0,0,4.5,5.0,0,2
1315521,777916645,Conflicting interpretations,Likely benign,7,3,1.5,6,1,0,19.099999999999998,102.0,1,4
1319800,1597879864,Conflicting interpretations,Likely benign,4,3,1.5,4,0,0,3.5,4.0,0,2
1319808,786204220,Conflicting interpretations,Likely benign,6,2,1.5,6,0,0,20.599999999999998,102.0,1,4
1319809,770090143,Conflicting interpretations,Likely benign,11,3,1.5,10,1,0,15.29090909090909,102.0,2,8
1325661,2154276206,Conflicting interpretations,Likely benign,3,3,1.5,3,0,0,4.0,4.0,0,1
1325662,2154334028,Conflicting interpretations,Likely benign,3,3,1.5,3,0,0,4.0,4.0,0,1
1325665,2154420505,Conflicting interpretations,Likely benign,3,3,1.5,3,0,0,4.0,4.0,0,1
1325667,2154472475,Conflicting interpretations,Uncertain significance,2,2,0.5,2,0,0,4.0,4.0,0,1
1325668,375952040,Conflicting interpretations,Likely benign,4,2,1.5,4,0,0,33.725,102.0,2,3
132704,376836050,Conflicting interpretations,Benign,5,2,2.5,2,3,0,4.96,6.8,0,3
132777,12516,Conflicting interpretations,Benign,50,1,2.5,26,23,1,8.472,25.5,11,36
132778,8176319,Conflicting interpretations,Benign,4,1,2.5,2,2,0,6.35,7.9,0,4
1329037,2154419849,Conflicting interpretations,Likely benign,2,2,1.5,2,0,0,4.0,4.0,0,1
1330004,1176222161,Conflicting interpretations,Likely benign,7,3,1.5,7,0,0,19.585714285714285,102.0,1,5
1330028,2154488853,Conflicting interpretations,Likely benign,3,3,1.5,3,0,0,5.3,7.9,0,2
1330065,2154396226,Conflicting interpretations,Likely benign,3,3,1.5,3,0,0,5.3,7.9,0,2
1330070,2153837157,Conflicting interpretations,Likely benign,2,2,1.5,2,0,0,5.95,7.9,0,2
1330088,2053486331,Conflicting interpretations,Likely benign,3,3,1.5,3,0,0,5.3,7.9,0,2
1330093,2152575457,Conflicting interpretations,Likely pathogenic,2,1,0.5,1,1,0,4.95,7.9,0,2
1330094,2154337925,Conflicting interpretations,Likely benign,3,3,1.5,3,0,0,5.3,7.9,0,2
1330114,1348270931,Conflicting interpretations,Likely benign,7,3,1.5,7,0,0,26.185714285714283,102.0,2,5
1330120,775424259,Conflicting interpretations,Likely benign,7,3,1.5,7,0,0,19.757142857142856,102.0,1,5
1330123,748550848,Conflicting interpretations,Likely benign,7,2,1.5,7,0,0,19.47142857142857,102.0,1,6
1331488,80357710,Conflicting interpretations,Pathogenic,8,3,1.5,8,0,0,9.4625,25.5,3,7
1331978,2154371171,Conflicting interpretations,Likely benign,3,3,1.5,3,0,0,4.0,4.0,0,1
1332042,189442183,Conflicting interpretations,Benign,1,1,2.5,1,0,0,4.0,4.0,0,1
1332354,2154355696,Conflicting interpretations,Likely benign,3,3,1.5,3,0,0,4.0,4.0,0,1
133721,431825393,Conflicting interpretations,Uncertain significance,17,1,0.5,1,16,0,22.864705882352943,102.0,6,13
133722,587778115,Conflicting interpretations,Uncertain significance,15,2,0.5,9,6,1,24.140000000000004,107.5,5,12
133723,587778116,Conflicting interpretations,Uncertain significance,11,4,0.5,11,0,0,17.345454545454544,102.0,3,8
133724,587778117,Conflicting interpretations,Uncertain significance,10,3,0.5,9,1,0,25.330000000000002,107.5,2,8
133725,397509318,Conflicting interpretations,Likely benign,15,4,1.5,15,0,0,15.219999999999999,102.0,4,11
1337343,773119778,Conflicting interpretations,Uncertain significance,2,1,0.5,2,0,0,5.7,7.4,0,2
1345247,1567789002,Conflicting interpretations,Likely benign,3,3,1.5,3,0,0,4.0,4.0,0,1
1345271,762867923,Conflicting interpretations,Likely benign,4,3,1.5,4,0,0,28.5,102.0,1,2
1345668,1597879098,Conflicting interpretations,Likely benign,4,3,1.5,4,0,0,3.5,4.0,0,2
1346052,876659028,Conflicting interpretations,Likely benign,11,2,1.5,10,1,0,22.33636363636364,102.0,3,7
1346072,56336919,Conflicting interpretations,Uncertain significance,24,2,0.5,21,2,0,13.074999999999998,102.0,6,18
1346585,2154358844,Conflicting interpretations,Likely benign,3,3,1.5,3,0,0,4.0,4.0,0,1
1348340,2154277653,Conflicting interpretations,Uncertain significance,3,3,0.5,3,0,0,4.0,4.0,0,1
1349608,2154427861,Conflicting interpretations,Uncertain significance,3,3,0.5,3,0,0,4.0,4.0,0,1
1351067,2054001685,Conflicting interpretations,Likely benign,3,3,1.5,3,0,0,4.0,4.0,0,1
1351199,2154361863,Conflicting interpretations,Likely benign,3,3,1.5,3,0,0,4.0,4.0,0,1
1352067,1289961661,Conflicting interpretations,Uncertain significance,12,2,0.5,12,0,0,14.583333333333334,102.0,3,10
1352429,398122649,Conflicting interpretations,Likely benign,13,2,1.5,13,0,0,14.93846153846154,102.0,4,9
1352647,2154327006,Conflicting interpretations,Likely benign,3,3,1.5,3,0,0,4.0,4.0,0,1
1353153,1555587377,Conflicting interpretations,Likely benign,3,2,1.5,3,0,0,3.3333333333333335,4.0,0,2
1353259,2154327700,Conflicting interpretations,Likely benign,3,3,1.5,3,0,0,4.0,4.0,0,1
1357359,2053952990,Conflicting interpretations,Likely benign,3,3,1.5,3,0,0,4.0,4.0,0,1
1359110,397509321,Conflicting interpretations,Uncertain significance,13,3,0.5,13,0,0,17.646153846153847,102.0,4,8
1360771,1555587835,Conflicting interpretations,Likely benign,2,2,1.5,2,0,0,4.0,4.0,0,1
136091,62625299,Conflicting interpretations,Likely benign,9,2,1.5,4,5,0,18.311111111111114,102.0,2,7
136093,587780805,Conflicting interpretations,Benign,5,2,2.5,3,2,0,23.700000000000003,83.4,2,4
1363342,1064794487,Conflicting interpretations,Likely benign,4,3,1.5,4,0,0,28.5,102.0,1,2
1363523,2152598561,Conflicting interpretations,Pathogenic,4,4,1.5,4,0,0,15.2,32.3,2,4
1364297,2154395681,Conflicting interpretations,Uncertain significance,3,3,0.5,3,0,0,4.0,4.0,0,1
1364646,1339736533,Conflicting interpretations,Uncertain significance,7,3,0.5,7,0,0,4.685714285714285,7.6,0,4
1365085,2154295855,Conflicting interpretations,Likely benign,3,3,1.5,3,0,0,4.0,4.0,0,1
136537,149402012,Conflicting interpretations,Likely benign,17,4,1.5,5,12,0,16.711764705882352,83.4,8,14
